aaat,saat
tgl,tanggal
th,tahun
thanks,terimakasih
that,itu
this,ini
thn,tahun
tho,sih
tibang,tiba
ticket,tiket
tida,tidak
tidk,tidak
tifak,tidak
tiker,tikar
time,waktu
tingkakn,tingkatkan
tingkatkakan,tingkatkan
tj,transjakarta
tk,saya
tks,terimakasih
tlfn,telpon
tlfon,telepon
tlg,tolong
tlp,telepon
tlpn,telepon
tlpon,telpon
tmpt,tempat
tnggal,tanggal
to,untuk
tokennya,token
toll,tol
tolo,tolol
tololllll,tolol
tolonggg,tolong
tolongla,tolong
tolonglah,tolong
tolonglahhhhh,tolong
toooloonnglaaaaahhhh,tolong
top,mantap
topp,mantap
topup,isi
tp,tapi
tpi,tapi
tq,terimakasih
traksaksi,transaksi
traksasi,transaksi
tranfer,transfer
trang,terang
transaki,transaksi
transaksai,transaksi
transaksinya,transaksi
transbjkt,transjakarta
transf,transfer
transger,transfer
transper,transfer
transportasinya,transportasi
trensfer,transfer
trf,transfer
trima,terima
trimachas,terimakasih
trimakasih,terimakasih
trjadi,terjadi
trll,terlalu
trobel,masalah
troblenya,masalah
trouble,masalah
troublenya,masalah
trpksa,terpaksa
trs,terus
trsper,transfer
trus,terus
truss,terus
trusted,dipercaya
trx,transaksi
trz,terus
tsb,tersebut
tsbt,tersebut
ttap,tetap
ttapi,tetapi
ttep,tetap
ttp,tetap
tu,itu
tulisannya,tulisan
twet,tweet
twt,twitter
tyap,tiap
uaangku,uangku
ualang,ulang
uanga,uang
uangnya,uang
uangx,uang
uanh,uang
ubanan,uban
ud,udah
uda,udah
udahlapor,udah lapor
udalah,udah
udan,udah
udh,udah
udha,udah
ugrade,meningkatkan
ui,antarmuka pengguna
ulangggggg,ulang
unblock,buka blokir
undh,udah
uninstal,hapus
uninstall,hapus
unistal,hapus
unistall,hapus
unrecognized,tidak dikenali
untk,untuk
untuj,untuk
uograde,meningkatkan
up,atas
update,diperbaharui
upgarde,peningkatan
upgrad,peningkatan
upgrade,peningkatan
upgradeny,peningkatan
upgradenya,peningkatan
upgradetan,peningkatan
upgrap,peningkatan
upgrate,peningkatan
upgrde,peningkatan
upgread,peningkatan
upgred,peningkatan
upgrede,peningkatan
upgrednya,peningkatan
upgrrade,peningkatan
upgrrd,peningkatan
uphrade,peningkatan
upnya,saldo
uprade,peningkatan
urgent,darurat
use,digunakan
user,pengguna
userfriendly,ramah
usernya,pengguna
utk,untuk
uwang,uang
uyy,oi
valas,balas
vchr,bon
verif,verifikasi
verifikasinya,verifikasi
verifikasinyaa,verifikasi
verifnya,verifikasi
veripikasi,verifikasi
verivikasi,verifikasi
vertikasi,verifikasi
vitur,fitur
vocher,bon
von,telepon
voucernya,bon
vouchernyaa,bon
waah,wah
wafi,wifi
wahh,wah
waifi,wifi
waja,wajah
wajahnya,wajah
walet,dompet
walhasil,alhasil
wallet,dompet
warrr,luar
was,khawatir
wassalam,selamat tinggal
website,situs web
weekend,akhir pekan
where,dimana
white,putih
why,kenapa
wifi,internet
with,dengan
wjah,wajah
wkt,waktu
wktu,waktu
wkwkwkwkwk,lucu
woii,woi
woiii,woi
woiiii,woi
wong,orang
woooy,woi
wooyy,woi
worry,khawatir
worst,terburuk
worth,nilai
wouiii,woi
woww,wow
woy,woi
woyy,woi
woyyy,woi
woyyyy,woi
wrong,salah
wrongin,salah
yaa,ya
yaaa,ya
yaaaaa,ya
yaaww,ya
yah,ya
yahh,yah
yanh,yang
yg,yang
yh,ya
ymbung,nyambung
yng,yang
yntuk,untuk
yo,ya
yotub,youtube
yukk,yuk
z,aja
zamannya,zaman
zonk,sampah
